taxable income,n_people,taxable_income_millions,tax_assessed_millions,taxable_income_per_person,after_tax_income_millions,after_tax_income_per_person,cumulative_people,cumulative_proportion
"$182,001 - $183,000",920,167.9,47.1,182500,120.8,131304.347826087,3790360,0.981912760544845
"$183,001 - $184,000",850,155.9,43.7,183411.764705882,112.2,132000,3791210,0.982132957530478
"$184,001 - $185,000",1130,208.5,58.6,184513.274336283,149.9,132654.867256637,3792340,0.982425689993731
"$185,001 - $186,000",770,142.8,40.1,185454.545454545,102.7,133376.623376623,3793110,0.982625162557186
"$186,001 - $187,000",690,128.7,36.2,186521.739130435,92.5,134057.971014493,3793800,0.982803910698465
"$187,001 - $188,000",1060,198.8,56,187547.169811321,142.8,134716.981132075,3794860,0.983078509292313
"$188,001 - $189,000",710,133.8,37.7,188450.704225352,96.1,135352.112676056,3795570,0.983262438539136
"$189,001 - $190,000",970,183.9,51.9,189587.628865979,132,136082.474226804,3796540,0.983513722158034
"$190,001 - $191,000",840,160.1,45.2,190595.238095238,114.9,136785.714285714,3797380,0.983731328590895
"$191,001 - $192,000",880,168.5,47.6,191477.272727273,120.9,137386.363636364,3798260,0.983959297234844
"$192,001 - $193,000",1170,225.3,63.7,192564.102564103,161.6,138119.658119658,3799430,0.984262391909186
"$193,001 - $194,000",500,96.8,27.4,193600,69.4,138800,3799930,0.984391919547793
"$194,001 - $195,000",830,161.4,45.7,194457.831325301,115.7,139397.590361446,3800760,0.984606935427882
"$195,001 - $196,000",780,152.5,43.2,195512.820512821,109.3,140128.205128205,3801540,0.984808998544109
"$196,001 - $197,000",570,112,31.8,196491.228070175,80.2,140701.754385965,3802110,0.984956660052122
"$197,001 - $198,000",620,122.4,34.8,197419.35483871,87.6,141290.322580645,3802730,0.985117274323995
"$198,001 - $199,000",680,134.9,38.4,198382.352941176,96.5,141911.764705882,3803410,0.985293431912501
"$199,001 - $200,000",660,131.7,37.5,199545.454545455,94.2,142727.272727273,3804070,0.985464408395463
"$200,001 - $205,000",3170,641.3,182.9,202302.839116719,458.4,144605.678233438,3807240,0.986285613624235
"$205,001 - $210,000",3070,637.1,182.4,207524.429967427,454.7,148110.749185668,3810310,0.987080913325285
"$210,001 - $215,000",2630,559.2,160.7,212623.574144487,398.5,151520.912547529,3812940,0.987762228704361
"$215,001 - $220,000",2540,552,159.1,217322.834645669,392.9,154685.039370079,3815480,0.988420229108487
"$220,001 - $225,000",2520,560.8,162.2,222539.682539683,398.6,158174.603174603,3818000,0.989073048407069
"$225,001 - $230,000",2240,509.9,147.9,227633.928571429,362,161607.142857143,3820240,0.989653332228031
"$230,001 - $235,000",1870,434.8,126.5,232513.368983957,308.3,164866.310160428,3822110,0.990137765596423
"$235,001 - $240,000",1910,453.5,132.3,237434.554973822,321.2,168167.539267016,3824020,0.990632561175904
"$240,001 - $245,000",1850,448,131,242162.162162162,317,171351.351351351,3825870,0.991111813438751
"$245,001 - $250,000",1890,467.9,137.2,247566.137566138,330.7,174973.544973545,3827760,0.991601427912688
"$250,001 - $255,000",1860,469.2,137.9,252258.064516129,331.3,178118.279569892,3829620,0.992083270728308
"$255,001 - $260,000",1290,332.2,97.9,257519.379844961,234.3,181627.906976744,3830910,0.992417452035915
"$260,001 - $265,000",1040,273,80.6,262500,192.4,185000,3831950,0.992686869524219
"$265,001 - $270,000",1110,297,87.9,267567.567567568,209.1,188378.378378378,3833060,0.992974420881928
"$270,001 - $275,000",1150,313.2,92.9,272347.826086957,220.3,191565.217391304,3834210,0.993272334450725
"$275,001 - $280,000",980,271.8,80.8,277346.93877551,191,194897.959183673,3835190,0.993526208622396
"$280,001 - $285,000",1310,370.2,110.3,282595.419847328,259.9,198396.946564885,3836500,0.993865571035548
"$285,001 - $290,000",970,278.6,83.1,287216.494845361,195.5,201546.391752577,3837470,0.994116854654446
"$290,001 - $295,000",800,233.8,69.9,292250,163.9,204875,3838270,0.994324098876218
"$295,001 - $300,000",1210,359.7,107.7,297272.727272727,252,208264.462809917,3839480,0.994637555761648
"Over $300,000",20700,11556,3625.5,558260.869565217,7930.5,383115.942028986,3860180,1
